,n_components,absorption_ratio
2002-02-05,105.0,0.7442482861453655
2002-02-06,105.0,0.7442482861453655
2002-02-07,105.0,0.7442482861453655
2002-02-08,105.0,0.7442482861453655
2002-02-11,105.0,0.7442482861453655
2002-02-12,105.0,0.7442482861453655
2002-02-13,105.0,0.7442482861453655
2002-02-14,105.0,0.7442482861453655
2002-02-15,105.0,0.7442482861453655
2002-02-19,105.0,0.7442482861453655
2002-02-20,105.0,0.7442482861453655
2002-02-21,105.0,0.7442482861453655
2002-02-22,105.0,0.7442482861453655
2002-02-25,105.0,0.7442482861453655
2002-02-26,105.0,0.7442482861453655
2002-02-27,105.0,0.7442482861453655
2002-02-28,105.0,0.7442482861453655
2002-03-01,105.0,0.7442482861453655
2002-03-04,105.0,0.7442482861453655
2002-03-05,105.0,0.7442482861453655
2002-03-06,105.0,0.7442482861453655
2002-03-07,104.0,0.7477324156398848
2002-03-08,104.0,0.7477324156398848
2002-03-11,104.0,0.7477324156398848
2002-03-12,104.0,0.7477324156398848
2002-03-13,104.0,0.7477324156398848
2002-03-14,104.0,0.7477324156398848
2002-03-15,104.0,0.7477324156398848
2002-03-18,104.0,0.7477324156398848
2002-03-19,104.0,0.7477324156398848
2002-03-20,104.0,0.7477324156398848
2002-03-21,104.0,0.7477324156398848
2002-03-22,104.0,0.7477324156398848
2002-03-25,104.0,0.7477324156398848
2002-03-26,104.0,0.7477324156398848
2002-03-27,104.0,0.7477324156398848
2002-03-28,104.0,0.7477324156398848
2002-04-01,104.0,0.7477324156398848
2002-04-02,104.0,0.7477324156398848
2002-04-03,104.0,0.7477324156398848
2002-04-04,104.0,0.7477324156398848
2002-04-05,104.0,0.7477324156398848
2002-04-08,105.0,0.7457975286684542
2002-04-09,105.0,0.7457975286684542
2002-04-10,105.0,0.7457975286684542
2002-04-11,105.0,0.7457975286684542
2002-04-12,105.0,0.7457975286684542
2002-04-15,105.0,0.7457975286684542
2002-04-16,105.0,0.7457975286684542
2002-04-17,105.0,0.7457975286684542
2002-04-18,105.0,0.7457975286684542
2002-04-19,105.0,0.7457975286684542
2002-04-22,105.0,0.7457975286684542
2002-04-23,105.0,0.7457975286684542
2002-04-24,105.0,0.7457975286684542
2002-04-25,105.0,0.7457975286684542
2002-04-26,105.0,0.7457975286684542
2002-04-29,105.0,0.7457975286684542
2002-04-30,105.0,0.7457975286684542
2002-05-01,105.0,0.7457975286684542
2002-05-02,105.0,0.7457975286684542
2002-05-03,105.0,0.7457975286684542
2002-05-06,105.0,0.7457975286684542
2002-05-07,105.0,0.7436577225839207
2002-05-08,105.0,0.7436577225839207
2002-05-09,105.0,0.7436577225839207
2002-05-10,105.0,0.7436577225839207
2002-05-13,105.0,0.7436577225839207
2002-05-14,105.0,0.7436577225839207
2002-05-15,105.0,0.7436577225839207
2002-05-16,105.0,0.7436577225839207
2002-05-17,105.0,0.7436577225839207
2002-05-20,105.0,0.7436577225839207
2002-05-21,105.0,0.7436577225839207
2002-05-22,105.0,0.7436577225839207
2002-05-23,105.0,0.7436577225839207
2002-05-24,105.0,0.7436577225839207
2002-05-28,105.0,0.7436577225839207
2002-05-29,105.0,0.7436577225839207
2002-05-30,105.0,0.7436577225839207
2002-05-31,105.0,0.7436577225839207
2002-06-03,105.0,0.7436577225839207
2002-06-04,105.0,0.7436577225839207
2002-06-05,105.0,0.7436577225839207
2002-06-06,104.0,0.7474792351067503
2002-06-07,104.0,0.7474792351067503
2002-06-10,104.0,0.7474792351067503
2002-06-11,104.0,0.7474792351067503
2002-06-12,104.0,0.7474792351067503
2002-06-13,104.0,0.7474792351067503
2002-06-14,104.0,0.7474792351067503
2002-06-17,104.0,0.7474792351067503
2002-06-18,104.0,0.7474792351067503
2002-06-19,104.0,0.7474792351067503
2002-06-20,104.0,0.7474792351067503
2002-06-21,104.0,0.7474792351067503
2002-06-24,104.0,0.7474792351067503
2002-06-25,104.0,0.7474792351067503
2002-06-26,104.0,0.7474792351067503
2002-06-27,104.0,0.7474792351067503
2002-06-28,104.0,0.7474792351067503
2002-07-01,104.0,0.7474792351067503
2002-07-02,104.0,0.7474792351067503
2002-07-03,104.0,0.7474792351067503
2002-07-05,104.0,0.7474792351067503
2002-07-08,103.0,0.7502716453876535
2002-07-09,103.0,0.7502716453876535
2002-07-10,103.0,0.7502716453876535
2002-07-11,103.0,0.7502716453876535
2002-07-12,103.0,0.7502716453876535
2002-07-15,103.0,0.7502716453876535
2002-07-16,103.0,0.7502716453876535
2002-07-17,103.0,0.7502716453876535
2002-07-18,103.0,0.7502716453876535
2002-07-19,103.0,0.7502716453876535
2002-07-22,103.0,0.7502716453876535
2002-07-23,103.0,0.7502716453876535
2002-07-24,103.0,0.7502716453876535
2002-07-25,103.0,0.7502716453876535
2002-07-26,103.0,0.7502716453876535
2002-07-29,103.0,0.7502716453876535
2002-07-30,103.0,0.7502716453876535
2002-07-31,103.0,0.7502716453876535
2002-08-01,103.0,0.7502716453876535
2002-08-02,103.0,0.7502716453876535
2002-08-05,103.0,0.7502716453876535
2002-08-06,99.0,0.7608274500230385
2002-08-07,99.0,0.7608274500230385
2002-08-08,99.0,0.7608274500230385
2002-08-09,99.0,0.7608274500230385
2002-08-12,99.0,0.7608274500230385
2002-08-13,99.0,0.7608274500230385
2002-08-14,99.0,0.7608274500230385
2002-08-15,99.0,0.7608274500230385
2002-08-16,99.0,0.7608274500230385
2002-08-19,99.0,0.7608274500230385
2002-08-20,99.0,0.7608274500230385
2002-08-21,99.0,0.7608274500230385
2002-08-22,99.0,0.7608274500230385
2002-08-23,99.0,0.7608274500230385
2002-08-26,99.0,0.7608274500230385
2002-08-27,99.0,0.7608274500230385
2002-08-28,99.0,0.7608274500230385
2002-08-29,99.0,0.7608274500230385
2002-08-30,99.0,0.7608274500230385
2002-09-03,99.0,0.7608274500230385
2002-09-04,99.0,0.7608274500230385
2002-09-05,97.0,0.7669311377609981
2002-09-06,97.0,0.7669311377609981
2002-09-09,97.0,0.7669311377609981
2002-09-10,97.0,0.7669311377609981
2002-09-11,97.0,0.7669311377609981
2002-09-12,97.0,0.7669311377609981
2002-09-13,97.0,0.7669311377609981
2002-09-16,97.0,0.7669311377609981
2002-09-17,97.0,0.7669311377609981
2002-09-18,97.0,0.7669311377609981
2002-09-19,97.0,0.7669311377609981
2002-09-20,97.0,0.7669311377609981
2002-09-23,97.0,0.7669311377609981
2002-09-24,97.0,0.7669311377609981
2002-09-25,97.0,0.7669311377609981
2002-09-26,97.0,0.7669311377609981
2002-09-27,97.0,0.7669311377609981
2002-09-30,97.0,0.7669311377609981
2002-10-01,97.0,0.7669311377609981
2002-10-02,97.0,0.7669311377609981
2002-10-03,97.0,0.7669311377609981
2002-10-04,95.0,0.7714980464232789
2002-10-07,95.0,0.7714980464232789
2002-10-08,95.0,0.7714980464232789
2002-10-09,95.0,0.7714980464232789
2002-10-10,95.0,0.7714980464232789
2002-10-11,95.0,0.7714980464232789
2002-10-14,95.0,0.7714980464232789
2002-10-15,95.0,0.7714980464232789
2002-10-16,95.0,0.7714980464232789
2002-10-17,95.0,0.7714980464232789
2002-10-18,95.0,0.7714980464232789
2002-10-21,95.0,0.7714980464232789
2002-10-22,95.0,0.7714980464232789
2002-10-23,95.0,0.7714980464232789
2002-10-24,95.0,0.7714980464232789
2002-10-25,95.0,0.7714980464232789
2002-10-28,95.0,0.7714980464232789
2002-10-29,95.0,0.7714980464232789
2002-10-30,95.0,0.7714980464232789
2002-10-31,95.0,0.7714980464232789
2002-11-01,95.0,0.7714980464232789
2002-11-04,93.0,0.7767455540541959
2002-11-05,93.0,0.7767455540541959
2002-11-06,93.0,0.7767455540541959
2002-11-07,93.0,0.7767455540541959
2002-11-08,93.0,0.7767455540541959
2002-11-11,93.0,0.7767455540541959
2002-11-12,93.0,0.7767455540541959
2002-11-13,93.0,0.7767455540541959
2002-11-14,93.0,0.7767455540541959
2002-11-15,93.0,0.7767455540541959
2002-11-18,93.0,0.7767455540541959
2002-11-19,93.0,0.7767455540541959
2002-11-20,93.0,0.7767455540541959
2002-11-21,93.0,0.7767455540541959
2002-11-22,93.0,0.7767455540541959
2002-11-25,93.0,0.7767455540541959
2002-11-26,93.0,0.7767455540541959
2002-11-27,93.0,0.7767455540541959
2002-11-29,93.0,0.7767455540541959
2002-12-02,93.0,0.7767455540541959
2002-12-03,93.0,0.7767455540541959
2002-12-04,92.0,0.7799600119146016
2002-12-05,92.0,0.7799600119146016
2002-12-06,92.0,0.7799600119146016
2002-12-09,92.0,0.7799600119146016
2002-12-10,92.0,0.7799600119146016
2002-12-11,92.0,0.7799600119146016
2002-12-12,92.0,0.7799600119146016
2002-12-13,92.0,0.7799600119146016
2002-12-16,92.0,0.7799600119146016
2002-12-17,92.0,0.7799600119146016
2002-12-18,92.0,0.7799600119146016
2002-12-19,92.0,0.7799600119146016
2002-12-20,92.0,0.7799600119146016
2002-12-23,92.0,0.7799600119146016
2002-12-24,92.0,0.7799600119146016
2002-12-26,92.0,0.7799600119146016
2002-12-27,92.0,0.7799600119146016
2002-12-30,92.0,0.7799600119146016
2002-12-31,92.0,0.7799600119146016
