,n_params,n_obs,loglik,AIC,BIC,kappa_mean
baseline (sma10+sma30),4.0,59580.0,164141.82532408292,-328275.65064816584,-328239.6703472608,0.03633867518151285
baseline + mom20,5.0,59580.0,164144.07521879126,-328278.1504375825,-328233.17506145115,0.03617008716359606
baseline + vol20,5.0,59580.0,164142.55194538194,-328275.1038907639,-328230.1285146325,0.03634887282118212
baseline + z60,5.0,58680.0,161698.9946331058,-323387.9892662116,-323343.0899950503,0.03304562838386885
baseline + dd60,5.0,58680.0,161692.3191850954,-323374.6383701908,-323329.7390990295,0.0339206135509853
all signals,8.0,58680.0,161703.92248165837,-323391.84496331675,-323320.00612945866,0.032252491524979464
