,0
FLIR,0.002686824152896107
KMX,0.004460731822656296
BSX,0.004755029249076385
AKAM,0.00508574826406911
URBN,0.0052606882608893435
AGN,0.00527044039382655
TGNA,0.005286071172373241
SBUX,0.0054594971477801724
GLW,0.005570576352926177
CLF,0.005603934301570176
AMT,0.0056200354637351655
AKS,0.005676761968427998
AAPL,0.005707473551709247
HAR,0.005781968651272236
F,0.005814399411652476
ATI,0.005846138724911397
1255459D,0.005905374544151481
MU,0.005931801715145937
BA,0.005933926166341274
TSS,0.005943127032430933
VLO,0.005947826252063414
PKI,0.005952287649553338
SVU,0.00597891970556973
DO,0.006084200565453817
RRD,0.0060935445841915565
SWY,0.006110946542787366
WFM,0.006132809018857269
HCBK,0.006184843357488067
SNDK,0.006197342645125516
AZO,0.006271592968038214
PBI,0.006282804741765822
OI,0.006313203992675551
BMY,0.006390451415206148
EMC,0.0064280184626866015
ADSK,0.006449722160164766
AES,0.006465987958569988
RAI,0.0064714130590874976
AMD,0.006483179341571861
JNPR,0.006507037983983572
ANDV,0.00651360542993396
PCP,0.0065288660326025035
EL,0.006593788015723307
JCP,0.006624836825520394
SWN,0.0066734272249458675
TWX,0.0066825943822083015
VIAV,0.006694615934042887
GT,0.006777950419420994
HAS,0.0068031715029252295
FOXA,0.006874999248284634
GHC,0.0068826526095404515
MDP,0.006950238648251886
HRB,0.006956168308314297
CBS,0.007000513060588745
STZ,0.007030785350248101
BBY,0.007043273813369063
MRK,0.007048522804091489
RSHCQ,0.007088602065383408
CI,0.007153518737032247
CMS,0.007172839338365737
CAT,0.007199394605115298
HPQ,0.00721038329877855
SUNEQ,0.007224059936873803
MCD,0.007233388220189639
A,0.007269249999924363
X,0.007322545812231827
LXK,0.0073279551680396375
MSI,0.00732931483322388
ODP,0.0073317218595365065
THC,0.007331764034772746
HSY,0.007392928853892613
EXC,0.007415325308073961
HUM,0.007426415464087937
PDCO,0.007429706567009639
HES,0.007447243587379662
EIX,0.007479646712482776
NI,0.007491555264344571
IR,0.007501061044612312
RHT,0.00750207527826293
NFX,0.007535567959794366
WHR,0.007561019967731309
PPL,0.007589121025650315
9876544D,0.007594669457122177
JCI,0.0075957778764003635
JWN,0.0076003987779267555
CTSH,0.007610532982176603
NWL,0.007651388266695013
MYL,0.0076684328400388425
CVC,0.0076691654128792945
KR,0.007671805359491932
EA,0.007693320584182917
HOT,0.0077064539862200954
ETN,0.007711938593944482
COP,0.007777376548308571
APOL,0.007785526294644759
ETFC,0.007791045218412539
1448062D,0.007807649817971379
PHM,0.007810545067099454
OKE,0.007859158814980718
9876641D,0.007863689045765676
SLB,0.007872348325676942
LB,0.007873939309500002
LM,0.007884387531930692
HAL,0.00791376613686876
DUK,0.007937084062745008
EMN,0.00796239782053236
CMCSA,0.007963286978051055
KO,0.007969259478815502
FCX,0.007984660389487263
HD,0.008004948885734102
LMT,0.008043681189976684
GE,0.00804818845963923
CMI,0.008052801547461576
SYK,0.00806073398443966
TXN,0.008068483105757479
NVDA,0.008077526749500144
AA,0.00809074266936895
NOC,0.00809380276186412
ANF,0.008119715422674673
CAG,0.008155998406442665
LUV,0.00816138164229875
NOV,0.008166733714511458
DE,0.008174813070962942
NYT,0.008181676230348375
IP,0.008182089716617628
MWW,0.008187926493274772
SWK,0.00819602567491445
XEL,0.008199649676124006
VRSN,0.00820037320332261
AVB,0.00820060653243763
TIF,0.008205891086971649
AON,0.008206886729369683
DIS,0.008219985388826305
DTE,0.008232077174437564
CTXS,0.008256987144891996
BLL,0.008282422009398393
FRX,0.008290910554842969
BAX,0.008309130119065667
LEN,0.008315222305590399
IFF,0.008319059216867649
ROK,0.008354852758461663
PXD,0.008356528882113383
1436513D,0.008370799359450402
1500785D,0.008403253988176441
HSH,0.008407682938949373
T,0.00840782544261885
WAT,0.008410905539595124
DOV,0.00841889293521116
PCG,0.008439416283451578
INTC,0.008476314781407127
PWR,0.00847849071341581
CVS,0.00847902265627107
GPC,0.00852393493229841
M,0.008528664995893219
EOG,0.008537837916739534
TEG,0.008544444670088405
WBA,0.008561127012785134
EQT,0.008575338588745849
ES,0.008584776299067913
TSN,0.008604834829756783
CNX,0.008606679023991561
AXP,0.008635373324877734
CSX,0.008640395413008638
DOW,0.008646250608409895
ETR,0.008649278786746789
AVY,0.008652479641606793
AIV,0.008668709582761882
R,0.008674831855765206
CAH,0.00867578362161497
CNP,0.008700114629545057
PBCT,0.008705558265090256
ATGE,0.008719586887640126
IPG,0.008722033458268089
HON,0.008728832886003875
RRC,0.008731338647708229
BEN,0.008752423684378993
TER,0.008783676795500343
PEG,0.008785583285525122
VTR,0.008805117073495926
AVP,0.008824417369677363
MRO,0.008825368460311232
PCAR,0.00883094415219664
LUK,0.008848648427891865
DVA,0.008854190625591828
CELG,0.008856588180643159
ORLY,0.008857825264742148
GS,0.008864622997554677
UNH,0.008866294484611709
CERN,0.00888143869601558
TXT,0.008881482335692794
HP,0.008889734654592588
KMB,0.008893926136215615
CA,0.008898849545338278
MCO,0.008916116934116923
ABC,0.008922086671355207
CSC,0.008935857629962452
MAR,0.00894430035548389
PPG,0.008955395836503687
MAR.1,0.008981102265935095
