,0
AAPL,0.08566861886402317
MSFT,0.0636109321257461
IBM,0.04243538349266488
INTC,0.055457489069653344
CSCO,0.05725007917880305
CRM,0.05264009951974032
ORCL,0.04358467114412696
XOM,0.08943329976131913
CVX,0.05733824906253734
JPM,0.06385206844837094
GS,0.052670232347676024
AXP,0.05290036743372391
V,0.05693083870663773
JNJ,0.07605984519941013
PFE,0.07135635934966873
MRK,0.04524835593713652
UNH,0.06703900007096103
KO,0.06194185257628456
PG,0.07078609520166332
WMT,0.04801125380865128
WBA,0.06402586039879314
HD,0.06497277625714126
MCD,0.06195030509354188
NKE,0.06023135078305548
DIS,0.06367561531858505
BA,0.05774699948707501
CAT,0.0567125248274434
MMM,0.05836458206894655
HON,0.07185175852869817
VZ,0.04445063649126419
