,kappa,const,sma10,sma30
Consumer Discretionary,0.045062775025407543,0.9929201312513266,0.5583555581735263,-0.5532465340802271
Consumer Staples,0.03425569877315997,1.0015947994815755,0.445326029421945,-1.0416917143111768
Energy,0.041937383751291295,1.0035805464269696,0.7167527093021608,-0.7434422639277446
Financials,0.04786709893718823,1.0026220075589671,0.6274368543026385,-0.45204525608338825
Healthcare,0.03622195676181422,0.9968274933530039,0.7821539751003854,-1.0152006676384135
Industrials,0.036006319318302116,1.041901186291263,0.6760802070867239,-0.7541621005199978
Technology,0.04569815706453563,1.0053812288026163,0.4317786350113605,-0.6854462372077214
Telecom,0.04445063649126419,0.9803866319394671,0.6629024296956771,-0.6145534919285733
